Name,Email,Year,Gender,Ethnicity,Major,Courses
Sarah Loughlin,sarahloughlin@stanford.edu,2019,female,Asian,Mechanical Engineering,"['ME 140', 'ME 238', 'ME 267', 'ME 335B', 'ME 346B', 'ME 361', 'ME 410C', 'ME 484']"
Andrew Covino,andrewcovino@stanford.edu,2019,male,Other,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 309', 'CS 340', 'CS 376', 'CS 106B']"
Louis Cordell,louiscordell@stanford.edu,2021,male,Asian,Civil and Environmental Engineering,"['CEE 120A', 'CEE 130', 'CEE 146E', 'CEE 259A', 'CEE 262D', 'CEE 263G', 'CEE 323C', 'CEE 63']"
Danilo Shaw,daniloshaw@stanford.edu,2018,male,Native Hawaiian or Pacific Islander,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 295', 'CS 390W', 'CS 448I', 'CS 95SI', 'CS 106B']"
Sarah Duong,sarahduong@stanford.edu,2019,female,Black or African American,Aeronautics and Astronautics,"['AA 115N', 'AA 190', 'AA 203', 'AA 250', 'AA 260', 'AA 284B', 'AA 290', 'AA 297']"
Christine Watson,christinewatson@stanford.edu,2019,female,Other,Computer Science,"['CS 103', 'CS 106A', 'CS 246H', 'CS 309A', 'CS 359C', 'CS 83', 'CS 106B', 'CS 107']"
John Pierson,johnpierson@stanford.edu,2019,male,American Indian or Alaskan Native,Aeronautics and Astronautics,"['AA 118N', 'AA 201A', 'AA 214C', 'AA 271A', 'AA 284A', 'AA 295', 'AA 297', 'AA 300']"
Alfredo Cooper,alfredocooper@stanford.edu,2020,male,Other,Chemical Engineering,"['CHEMENG 100', 'CHEMENG 190', 'CHEMENG 190H', 'CHEMENG 191H', 'CHEMENG 296', 'CHEMENG 482', 'CHEMENG 699', 'CHEMENG 70Q']"
George Cooke,georgecooke@stanford.edu,2019,male,White,Computer Science,"['CS 103', 'CS 106A', 'CS 161', 'CS 233', 'CS 390V', 'CS 395', 'CS 106B', 'CS 107']"
Mark Austin,markaustin@stanford.edu,2019,male,American Indian or Alaskan Native,Computer Science,"['CS 103', 'CS 106A', 'CS 161', 'CS 244C', 'CS 247L', 'CS 251', 'CS 352', 'CS 106B']"
Rosalina Kennedy,rosalinakennedy@stanford.edu,2021,female,Other,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 148', 'CS 161', 'CS 402', 'CS 106B', 'CS 107']"
Charles Guidry,charlesguidry@stanford.edu,2019,male,Other,Materials Science and Engineering,"['MATSCI 142', 'MATSCI 171', 'MATSCI 193', 'MATSCI 205', 'MATSCI 207', 'MATSCI 312', 'MATSCI 323', 'MATSCI 84N']"
Mary Wyatt,marywyatt@stanford.edu,2020,female,Black or African American,Materials Science and Engineering,"['MATSCI 142', 'MATSCI 173', 'MATSCI 195', 'MATSCI 199', 'MATSCI 230', 'MATSCI 343', 'MATSCI 353', 'MATSCI 358']"
Jesse Batts,jessebatts@stanford.edu,2021,female,Native Hawaiian or Pacific Islander,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 193X', 'CS 390C', 'CS 106B', 'CS 107']"
Earline Vanhorn,earlinevanhorn@stanford.edu,2018,female,Other,Mechanical Engineering,"['ME 103', 'ME 125', 'ME 137', 'ME 243', 'ME 263', 'ME 326', 'ME 399', 'ME 410B']"
Roy Scott,royscott@stanford.edu,2020,male,Black or African American,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 276', 'CS 390S', 'CS 499P', 'CS 106B']"
Norman Smith,normansmith@stanford.edu,2020,male,Native Hawaiian or Pacific Islander,Electrical Engineering,"['EE 151', 'EE 212', 'EE 292L', 'EE 293B', 'EE 327', 'EE 334', 'EE 384C', 'EE 388']"
Patty Lee,pattylee@stanford.edu,2020,female,Asian,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 170', 'CS 234', 'CS 106B', 'CS 107']"
Dennise Prattis,denniseprattis@stanford.edu,2021,female,Asian,Bioengineering,"['BIOE 220', 'BIOE 231', 'BIOE 242', 'BIOE 333', 'BIOE 454', 'BIOE 485', 'BIOE 51', 'BIOE 80']"
Tomas Hickey,tomashickey@stanford.edu,2018,male,Asian,Aeronautics and Astronautics,"['AA 122N', 'AA 200', 'AA 201A', 'AA 203', 'AA 214A', 'AA 215A', 'AA 242A', 'AA 248E']"
Michael Johnson,michaeljohnson@stanford.edu,2018,male,Asian,Management Science and Engineering,"['MS&E 149', 'MS&E 181', 'MS&E 184', 'MS&E 185', 'MS&E 262', 'MS&E 295', 'MS&E 447', 'MS&E 494']"
Christopher Wright,christopherwright@stanford.edu,2019,male,Black or African American,Computer Science,"['CS 102', 'CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 371', 'CS 106B', 'CS 107']"
Robert Schmidt,robertschmidt@stanford.edu,2020,male,Asian,Bioengineering,"['BIOE 103', 'BIOE 131', 'BIOE 212', 'BIOE 220', 'BIOE 279', 'BIOE 299B', 'BIOE 334', 'BIOE 485']"
Kellie Bigelow,kelliebigelow@stanford.edu,2018,female,Other,Aeronautics and Astronautics,"['AA 119N', 'AA 218', 'AA 228', 'AA 241X', 'AA 257', 'AA 279C', 'AA 284C', 'AA 297']"
Delores Maybee,deloresmaybee@stanford.edu,2020,female,Black or African American,Materials Science and Engineering,"['MATSCI 174', 'MATSCI 205', 'MATSCI 251', 'MATSCI 343', 'MATSCI 353', 'MATSCI 380', 'MATSCI 381', 'MATSCI 400']"
Virginia Chong,virginiachong@stanford.edu,2020,female,Asian,Electrical Engineering,"['EE 179', 'EE 310', 'EE 316', 'EE 347', 'EE 372', 'EE 377', 'EE 382C', 'EE 384S']"
Julia Harris,juliaharris@stanford.edu,2020,female,American Indian or Alaskan Native,Civil and Environmental Engineering,"['CEE 165C', 'CEE 226E', 'CEE 247A', 'CEE 262B', 'CEE 271B', 'CEE 273C', 'CEE 371L', 'CEE 374A']"
Maria Tarvis,mariatarvis@stanford.edu,2019,female,American Indian or Alaskan Native,Bioengineering,"['BIOE 10N', 'BIOE 238', 'BIOE 244', 'BIOE 333', 'BIOE 375B', 'BIOE 376', 'BIOE 485', 'BIOE 70Q']"
Annie Sexton,anniesexton@stanford.edu,2021,female,Black or African American,Computer Science,"['CS 103', 'CS 106A', 'CS 161', 'CS 1C', 'CS 268', 'CS 275A', 'CS 106B', 'CS 107']"
James Williams,jameswilliams@stanford.edu,2018,male,American Indian or Alaskan Native,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 147', 'CS 348A', 'CS 424M', 'CS 106B', 'CS 107']"
Richard Mcqueen,richardmcqueen@stanford.edu,2020,male,Native Hawaiian or Pacific Islander,Computer Science,"['CS 103', 'CS 106A', 'CS 106X', 'CS 109', 'CS 161', 'CS 361', 'CS 424M', 'CS 106B']"
Joseph Hazzard,josephhazzard@stanford.edu,2021,male,Asian,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 229T', 'CS 22A', 'CS 348C', 'CS 359C', 'CS 106B']"
Maurice Eckard,mauriceeckard@stanford.edu,2019,male,Asian,Aeronautics and Astronautics,"['AA 203', 'AA 214A', 'AA 236C', 'AA 248E', 'AA 251', 'AA 271A', 'AA 277', 'AA 297']"
Lazaro Reed,lazaroreed@stanford.edu,2021,male,Black or African American,Aeronautics and Astronautics,"['AA 100', 'AA 214B', 'AA 241A', 'AA 241X', 'AA 250', 'AA 272C', 'AA 274', 'AA 801']"
Alexandra Harrison,alexandraharrison@stanford.edu,2018,female,White,Mechanical Engineering,"['ME 101', 'ME 300B', 'ME 310B', 'ME 338B', 'ME 342D', 'ME 355', 'ME 451D', 'ME 491']"
Shawna Cox,shawnacox@stanford.edu,2020,female,Other,Materials Science and Engineering,"['MATSCI 100', 'MATSCI 151', 'MATSCI 198', 'MATSCI 207', 'MATSCI 256', 'MATSCI 303', 'MATSCI 326', 'MATSCI 381']"
Jeff Rick,jeffrick@stanford.edu,2021,male,American Indian or Alaskan Native,Electrical Engineering,"['EE 118', 'EE 203', 'EE 214A', 'EE 22N', 'EE 236C', 'EE 261', 'EE 388', 'EE 392K']"
Helen Buco,helenbuco@stanford.edu,2021,female,White,Electrical Engineering,"['EE 195', 'EE 253', 'EE 303', 'EE 316', 'EE 356B', 'EE 368', 'EE 369B', 'EE 802']"
Rachelle Campbell,rachellecampbell@stanford.edu,2018,female,Other,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 332', 'CS 448', 'CS 106B', 'CS 107']"
Maria Butler,mariabutler@stanford.edu,2019,female,Asian,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 193P', 'CS 202', 'CS 106B', 'CS 107']"
Bryan Chavez,bryanchavez@stanford.edu,2019,male,Black or African American,Materials Science and Engineering,"['MATSCI 10SC', 'MATSCI 163', 'MATSCI 198', 'MATSCI 201', 'MATSCI 299', 'MATSCI 321', 'MATSCI 346', 'MATSCI 358']"
Mark Mccullough,markmccullough@stanford.edu,2020,male,White,Mechanical Engineering,"['ME 104S', 'ME 115C', 'ME 11SC', 'ME 229', 'ME 376A', 'ME 453A', 'ME 470', 'ME 80']"
Joan Baker,joanbaker@stanford.edu,2020,female,Asian,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 371', 'CS 95SI', 'CS 106B', 'CS 107']"
Edgar Schleppenbach,edgarschleppenbach@stanford.edu,2021,male,Native Hawaiian or Pacific Islander,Civil and Environmental Engineering,"['CEE 126', 'CEE 172', 'CEE 183', 'CEE 220A', 'CEE 268', 'CEE 283', 'CEE 320', 'CEE 32Y']"
Jean Ashman,jeanashman@stanford.edu,2019,female,Other,Materials Science and Engineering,"['MATSCI 150', 'MATSCI 164', 'MATSCI 193', 'MATSCI 201', 'MATSCI 302', 'MATSCI 321', 'MATSCI 323', 'MATSCI 380']"
Thomas Dabadie,thomasdabadie@stanford.edu,2019,male,Native Hawaiian or Pacific Islander,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 155', 'CS 173', 'CS 181W', 'CS 244', 'CS 106B']"
Jesus Bryan,jesusbryan@stanford.edu,2018,male,Other,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 140', 'CS 161', 'CS 267', 'CS 270', 'CS 106B']"
Karen Bradley,karenbradley@stanford.edu,2020,female,Native Hawaiian or Pacific Islander,Civil and Environmental Engineering,"['CEE 10A', 'CEE 120C', 'CEE 176B', 'CEE 204', 'CEE 224S', 'CEE 274S', 'CEE 322', 'CEE 32F']"
William Cruz,williamcruz@stanford.edu,2020,male,American Indian or Alaskan Native,Aeronautics and Astronautics,"['AA 229', 'AA 240A', 'AA 242A', 'AA 256', 'AA 271A', 'AA 274', 'AA 283', 'AA 47SI']"
Esperanza Powell,esperanzapowell@stanford.edu,2020,female,Other,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 399', 'CS 801', 'CS 106B', 'CS 107']"
Roberto Correia,robertocorreia@stanford.edu,2019,male,White,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 140', 'CS 205A', 'CS 244B', 'CS 9', 'CS 106B']"
Mary Gould,marygould@stanford.edu,2018,female,Native Hawaiian or Pacific Islander,Aeronautics and Astronautics,"['AA 214A', 'AA 236C', 'AA 241X', 'AA 250', 'AA 256', 'AA 260', 'AA 277', 'AA 279B']"
Michael Hunter,michaelhunter@stanford.edu,2018,male,Black or African American,Civil and Environmental Engineering,"['CEE 126Y', 'CEE 200A', 'CEE 241B', 'CEE 266A', 'CEE 269A', 'CEE 271A', 'CEE 277F', 'CEE 295']"
Charles Inman,charlesinman@stanford.edu,2020,male,White,Computer Science,"['CS 102', 'CS 103', 'CS 106A', 'CS 107', 'CS 109', 'CS 161', 'CS 358', 'CS 106B']"
Charles Collins,charlescollins@stanford.edu,2021,male,Black or African American,Computer Science,"['CS 103', 'CS 106A', 'CS 161', 'CS 279', 'CS 448H', 'CS 62N', 'CS 106B', 'CS 107']"
Jesus Eash,jesuseash@stanford.edu,2019,male,Other,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 244C', 'CS 267', 'CS 476A', 'CS 106B']"
Richard Cortez,richardcortez@stanford.edu,2020,male,White,Computer Science,"['CS 103', 'CS 103', 'CS 106A', 'CS 109', 'CS 181W', 'CS 246H', 'CS 106B', 'CS 107']"
Alan Otto,alanotto@stanford.edu,2021,male,White,Computer Science,"['CS 103', 'CS 106A', 'CS 161', 'CS 261', 'CS 42', 'CS 45N', 'CS 499P', 'CS 106B']"
Dennis Arostegui,dennisarostegui@stanford.edu,2019,male,Native Hawaiian or Pacific Islander,Computer Science,"['CS 103', 'CS 106A', 'CS 161', 'CS 231N', 'CS 272', 'CS 42', 'CS 106B', 'CS 107']"
Nick Cannon,nickcannon@stanford.edu,2021,male,Other,Aeronautics and Astronautics,"['AA 100', 'AA 109Q', 'AA 241A', 'AA 242B', 'AA 252', 'AA 279A', 'AA 279B', 'AA 290']"
Charles Carr,charlescarr@stanford.edu,2020,male,American Indian or Alaskan Native,Aeronautics and Astronautics,"['AA 115N', 'AA 119N', 'AA 190', 'AA 200', 'AA 201B', 'AA 208', 'AA 228', 'AA 248E']"
Angela Blackstone,angelablackstone@stanford.edu,2020,female,Native Hawaiian or Pacific Islander,Management Science and Engineering,"['MS&E 135', 'MS&E 140', 'MS&E 175', 'MS&E 180', 'MS&E 20', 'MS&E 292', 'MS&E 310', 'MS&E 349']"
David Ellis,davidellis@stanford.edu,2021,male,White,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 269I', 'CS 316', 'CS 522', 'CS 106B', 'CS 107']"
Aleida Ridley,aleidaridley@stanford.edu,2021,female,Native Hawaiian or Pacific Islander,Materials Science and Engineering,"['MATSCI 198', 'MATSCI 203', 'MATSCI 209', 'MATSCI 316', 'MATSCI 353', 'MATSCI 400', 'MATSCI 802', 'MATSCI 82N']"
Louise Robertson,louiserobertson@stanford.edu,2021,female,Other,Electrical Engineering,"['EE 104', 'EE 118', 'EE 264W', 'EE 26N', 'EE 310', 'EE 329', 'EE 334', 'EE 392AA']"
Jessica Medina,jessicamedina@stanford.edu,2019,female,Native Hawaiian or Pacific Islander,Computer Science,"['CS 103', 'CS 106A', 'CS 106B', 'CS 109', 'CS 161', 'CS 206', 'CS 106B', 'CS 107']"
Elouise Cullinane,elouisecullinane@stanford.edu,2018,female,Native Hawaiian or Pacific Islander,Electrical Engineering,"['EE 191W', 'EE 203', 'EE 204S', 'EE 236A', 'EE 264W', 'EE 273', 'EE 290D', 'EE 368']"
Earl Tesmar,earltesmar@stanford.edu,2019,male,Black or African American,Computer Science,"['CS 102', 'CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 51', 'CS 106B', 'CS 107']"
Peter Richard,peterrichard@stanford.edu,2021,male,White,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 196', 'CS 448I', 'CS 571', 'CS 106B']"
Hubert Aviles,hubertaviles@stanford.edu,2021,male,Asian,Management Science and Engineering,"['MS&E 140', 'MS&E 212', 'MS&E 245A', 'MS&E 252', 'MS&E 256A', 'MS&E 322', 'MS&E 332', 'MS&E 487']"
Ricky Schwend,rickyschwend@stanford.edu,2020,male,Asian,Mechanical Engineering,"['ME 131A', 'ME 240', 'ME 340', 'ME 346A', 'ME 349', 'ME 354', 'ME 368', 'ME 371']"
Raquel Bradley,raquelbradley@stanford.edu,2021,female,Black or African American,Aeronautics and Astronautics,"['AA 108N', 'AA 109Q', 'AA 190', 'AA 208', 'AA 256', 'AA 284A', 'AA 291', 'AA 300']"
Eugene Bookwalter,eugenebookwalter@stanford.edu,2020,male,Other,Computer Science,"['CS 103', 'CS 106A', 'CS 140', 'CS 161', 'CS 229', 'CS 267', 'CS 106B', 'CS 107']"
Ida Beirne,idabeirne@stanford.edu,2018,female,White,Chemical Engineering,"['CHEMENG 12SC', 'CHEMENG 130', 'CHEMENG 35N', 'CHEMENG 459', 'CHEMENG 501', 'CHEMENG 516', 'CHEMENG 600', 'CHEMENG 801']"
Efrain Stone,efrainstone@stanford.edu,2021,male,Native Hawaiian or Pacific Islander,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 194', 'CS 213', 'CS 329', 'CS 106B']"
Elizabeth Winters,elizabethwinters@stanford.edu,2020,female,Black or African American,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 341', 'CS 390C', 'CS 106B', 'CS 107']"
Tina Bausch,tinabausch@stanford.edu,2019,female,Other,Materials Science and Engineering,"['MATSCI 163', 'MATSCI 197', 'MATSCI 199', 'MATSCI 316', 'MATSCI 321', 'MATSCI 323', 'MATSCI 331', 'MATSCI 399']"
Rochelle Hammond,rochellehammond@stanford.edu,2019,female,Other,Chemical Engineering,"['CHEMENG 190', 'CHEMENG 355', 'CHEMENG 442', 'CHEMENG 459', 'CHEMENG 469', 'CHEMENG 503', 'CHEMENG 517', 'CHEMENG 90Q']"
Phillip Johnson,phillipjohnson@stanford.edu,2018,male,American Indian or Alaskan Native,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 246H', 'CS 295', 'CS 323', 'CS 106B']"
Dustin Elam,dustinelam@stanford.edu,2020,male,Native Hawaiian or Pacific Islander,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 244B', 'CS 95SI', 'CS 106B', 'CS 107']"
Jeremy Tarin,jeremytarin@stanford.edu,2020,male,American Indian or Alaskan Native,Aeronautics and Astronautics,"['AA 109Q', 'AA 200', 'AA 201A', 'AA 240A', 'AA 241B', 'AA 250', 'AA 283', 'AA 294']"
Todd Yoder,toddyoder@stanford.edu,2019,male,American Indian or Alaskan Native,Bioengineering,"['BIOE 201C', 'BIOE 219', 'BIOE 242', 'BIOE 244', 'BIOE 284B', 'BIOE 326B', 'BIOE 36Q', 'BIOE 390']"
Ella Painter,ellapainter@stanford.edu,2020,female,Asian,Computer Science,"['CS 103', 'CS 106A', 'CS 106AJ', 'CS 109', 'CS 145', 'CS 224N', 'CS 315B', 'CS 106B']"
Maria Nall,marianall@stanford.edu,2020,female,Black or African American,Chemical Engineering,"['CHEMENG 100', 'CHEMENG 181', 'CHEMENG 399', 'CHEMENG 470', 'CHEMENG 503', 'CHEMENG 519', 'CHEMENG 520', 'CHEMENG 60Q']"
Shawn Charles,shawncharles@stanford.edu,2020,male,Other,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 183E', 'CS 191W', 'CS 377', 'CS 107']"
Larry Krueger,larrykrueger@stanford.edu,2018,male,Other,Electrical Engineering,"['EE 101B', 'EE 104', 'EE 207', 'EE 251', 'EE 279', 'EE 347', 'EE 392AA', 'EE 392T']"
David Young,davidyoung@stanford.edu,2019,male,Asian,Aeronautics and Astronautics,"['AA 115N', 'AA 121Q', 'AA 214A', 'AA 236C', 'AA 240B', 'AA 252', 'AA 260', 'AA 279B']"
Margaret Pescatore,margaretpescatore@stanford.edu,2020,female,Asian,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 225A', 'CS 250', 'CS 9', 'CS 106B']"
Beverly Keller,beverlykeller@stanford.edu,2018,female,White,Electrical Engineering,"['EE 153', 'EE 179', 'EE 21N', 'EE 253', 'EE 255', 'EE 290B', 'EE 373A', 'EE 377']"
Elizabeth Oaks,elizabethoaks@stanford.edu,2019,female,Asian,Bioengineering,"['BIOE 101', 'BIOE 260', 'BIOE 279', 'BIOE 281', 'BIOE 285', 'BIOE 32Q', 'BIOE 459', 'BIOE 51']"
Sheila Wade,sheilawade@stanford.edu,2021,female,American Indian or Alaskan Native,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 345S', 'CS 395', 'CS 476A', 'CS 106B']"
Bernard Gonzales,bernardgonzales@stanford.edu,2018,male,Other,Mechanical Engineering,"['ME 204A', 'ME 250', 'ME 29SI', 'ME 315', 'ME 367', 'ME 388', 'ME 453A', 'ME 461']"
Noah Pilgrim,noahpilgrim@stanford.edu,2021,male,White,Computer Science,"['CS 103', 'CS 106A', 'CS 106AJ', 'CS 109', 'CS 161', 'CS 221', 'CS 106B', 'CS 107']"
Lucille Jensen,lucillejensen@stanford.edu,2020,female,Black or African American,Aeronautics and Astronautics,"['AA 116Q', 'AA 190', 'AA 199', 'AA 222', 'AA 242A', 'AA 260', 'AA 297', 'AA 802']"
Betty Negbenebor,bettynegbenebor@stanford.edu,2021,female,Black or African American,Computer Science,"['CS 103', 'CS 106A', 'CS 161', 'CS 239', 'CS 332', 'CS 49N', 'CS 106B', 'CS 107']"
Aileen Haddox,aileenhaddox@stanford.edu,2018,female,White,Management Science and Engineering,"['MS&E 121', 'MS&E 175', 'MS&E 202', 'MS&E 211X', 'MS&E 251', 'MS&E 271', 'MS&E 472', 'MS&E 52']"
David Miller,davidmiller@stanford.edu,2021,male,Asian,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 248', 'CS 309', 'CS 348A', 'CS 107']"
Edward Coke,edwardcoke@stanford.edu,2019,male,Asian,Computer Science,"['CS 103', 'CS 106A', 'CS 161', 'CS 191', 'CS 28', 'CS 377', 'CS 571', 'CS 107']"
Victor Matthews,victormatthews@stanford.edu,2020,male,Native Hawaiian or Pacific Islander,Chemical Engineering,"['CHEMENG 120B', 'CHEMENG 185A', 'CHEMENG 190H', 'CHEMENG 31N', 'CHEMENG 320', 'CHEMENG 399', 'CHEMENG 503', 'CHEMENG 515']"
William Johnson,williamjohnson@stanford.edu,2018,male,Native Hawaiian or Pacific Islander,Aeronautics and Astronautics,"['AA 121Q', 'AA 200', 'AA 201A', 'AA 241X', 'AA 283', 'AA 284B', 'AA 290', 'AA 295']"
Kyle Deacy,kyledeacy@stanford.edu,2020,male,American Indian or Alaskan Native,Civil and Environmental Engineering,"['CEE 107R', 'CEE 200B', 'CEE 200C', 'CEE 212A', 'CEE 270B', 'CEE 308', 'CEE 32G', 'CEE 377']"
Marvin Walker,marvinwalker@stanford.edu,2019,male,Native Hawaiian or Pacific Islander,Management Science and Engineering,"['MS&E 149', 'MS&E 177', 'MS&E 185', 'MS&E 213', 'MS&E 251', 'MS&E 267', 'MS&E 372', 'MS&E 454']"
Fern Harlan,fernharlan@stanford.edu,2020,female,White,Civil and Environmental Engineering,"['CEE 124Z', 'CEE 181', 'CEE 213', 'CEE 226E', 'CEE 240', 'CEE 242', 'CEE 362G', 'CEE 50N']"
Anneliese Widener,anneliesewidener@stanford.edu,2020,female,Native Hawaiian or Pacific Islander,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 272', 'CS 298', 'CS 106B', 'CS 107']"
Barbara Kelsey,barbarakelsey@stanford.edu,2019,female,Black or African American,Mechanical Engineering,"['ME 131A', 'ME 209', 'ME 212', 'ME 287', 'ME 28SI', 'ME 299B', 'ME 29SI', 'ME 359B']"
Jay Blackford,jayblackford@stanford.edu,2018,male,White,Bioengineering,"['BIOE 103', 'BIOE 225', 'BIOE 227', 'BIOE 241', 'BIOE 260', 'BIOE 334', 'BIOE 381', 'BIOE 500']"
Kevin Nunn,kevinnunn@stanford.edu,2020,male,White,Materials Science and Engineering,"['MATSCI 10SC', 'MATSCI 158', 'MATSCI 201', 'MATSCI 205', 'MATSCI 208', 'MATSCI 300', 'MATSCI 322', 'MATSCI 399']"
Melva Hernandez,melvahernandez@stanford.edu,2019,female,Other,Mechanical Engineering,"['ME 110B', 'ME 206A', 'ME 218B', 'ME 27SI', 'ME 313', 'ME 359', 'ME 458', 'ME 500']"
Bruce Johnson,brucejohnson@stanford.edu,2021,male,White,Computer Science,"['CS 103', 'CS 106A', 'CS 106S', 'CS 109', 'CS 170', 'CS 62N', 'CS 106B', 'CS 107']"
Kenneth Wild,kennethwild@stanford.edu,2020,male,Black or African American,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 191', 'CS 210A', 'CS 273A', 'CS 448H', 'CS 107']"
Hugh Flora,hughflora@stanford.edu,2019,male,White,Computer Science,"['CS 103', 'CS 106A', 'CS 107', 'CS 109', 'CS 191', 'CS 246H', 'CS 294A', 'CS 390S']"
Virginia Kennedy,virginiakennedy@stanford.edu,2018,female,American Indian or Alaskan Native,Electrical Engineering,"['EE 207', 'EE 214B', 'EE 218', 'EE 22N', 'EE 256', 'EE 300', 'EE 314A', 'EE 356B']"
Tim Surface,timsurface@stanford.edu,2018,male,Other,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 192', 'CS 275B', 'CS 51', 'CS 106B']"
Pearl Nava,pearlnava@stanford.edu,2018,female,American Indian or Alaskan Native,Aeronautics and Astronautics,"['AA 210B', 'AA 229', 'AA 244A', 'AA 272D', 'AA 280', 'AA 47SI', 'AA 801', 'AA 802']"
Arnold Scott,arnoldscott@stanford.edu,2018,male,Native Hawaiian or Pacific Islander,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 109', 'CS 161', 'CS 269G', 'CS 106B', 'CS 107']"
