Name,Email,Year,Gender,Ethnicity,Major,Courses
Robert Tubb,roberttubb@stanford.edu,2019,male,American Indian or Alaskan Native,Civil and Environmental Engineering,"['CEE101S', 'CEE112D', 'CEE151', 'CEE212D', 'CEE226E', 'CEE279S', 'CEE293', 'CEE295']"
Jewel Barnes,jewelbarnes@stanford.edu,2018,female,American Indian or Alaskan Native,Chemical Engineering,"['CHEMENG120B', 'CHEMENG162', 'CHEMENG180', 'CHEMENG196', 'CHEMENG399', 'CHEMENG513', 'CHEMENG514', 'CHEMENG516']"
Christine Millison,christinemillison@stanford.edu,2021,female,American Indian or Alaskan Native,Bioengineering,"['BIOE101', 'BIOE213', 'BIOE236', 'BIOE279', 'BIOE300B', 'BIOE313', 'BIOE371', 'BIOE377']"
Melissa Thomas,melissathomas@stanford.edu,2021,female,Native Hawaiian or Pacific Islander,Computer Science,"['CS103', 'CS105', 'CS106A', 'CS106B', 'CS106X', 'CS196', 'CS198B', 'CS390W']"
Marisol Wheatley,marisolwheatley@stanford.edu,2021,female,Other,Chemical Engineering,"['CHEMENG10', 'CHEMENG100', 'CHEMENG160', 'CHEMENG185B', 'CHEMENG345', 'CHEMENG35N', 'CHEMENG469', 'CHEMENG510']"
Richard Tuttle,richardtuttle@stanford.edu,2018,male,American Indian or Alaskan Native,Computer Science,"['CS103', 'CS106A', 'CS106B', 'CS109', 'CS161', 'CS191W', 'CS390T', 'CS448B']"
Stephanie Oliver,stephanieoliver@stanford.edu,2018,female,Native Hawaiian or Pacific Islander,Bioengineering,"['BIOE101', 'BIOE103B', 'BIOE224', 'BIOE285', 'BIOE313', 'BIOE326A', 'BIOE375B', 'BIOE42']"
Mary Keeton,marykeeton@stanford.edu,2020,female,American Indian or Alaskan Native,Materials Science and Engineering,"['MATSCI161', 'MATSCI200', 'MATSCI210', 'MATSCI300', 'MATSCI331', 'MATSCI353', 'MATSCI381', 'MATSCI83N']"
Wan Myers,wanmyers@stanford.edu,2021,female,White,Aeronautics and Astronautics,"['AA120Q', 'AA121Q', 'AA208', 'AA214B', 'AA214C', 'AA236B', 'AA252', 'AA284C']"
Shameka Villanueva,shamekavillanueva@stanford.edu,2018,female,White,Bioengineering,"['BIOE115', 'BIOE211', 'BIOE279', 'BIOE283', 'BIOE301A', 'BIOE326B', 'BIOE36Q', 'BIOE802']"
Karen Sullivan,karensullivan@stanford.edu,2020,female,Other,Chemical Engineering,"['CHEMENG10', 'CHEMENG120A', 'CHEMENG190H', 'CHEMENG196', 'CHEMENG20', 'CHEMENG454', 'CHEMENG464', 'CHEMENG518']"
Howard Applebury,howardapplebury@stanford.edu,2020,male,American Indian or Alaskan Native,Computer Science,"['CS103', 'CS106A', 'CS106B', 'CS107', 'CS109', 'CS168', 'CS45N', 'CS9']"
Harold Patterson,haroldpatterson@stanford.edu,2021,male,Other,Civil and Environmental Engineering,"['CEE199', 'CEE207R', 'CEE209B', 'CEE241A', 'CEE273D', 'CEE299', 'CEE324', 'CEE370C']"
Brenda Tew,brendatew@stanford.edu,2020,female,White,Mechanical Engineering,"['ME101', 'ME218D', 'ME27SI', 'ME283', 'ME310C', 'ME327', 'ME381', 'ME571']"
Donna Hamm,donnahamm@stanford.edu,2018,female,Native Hawaiian or Pacific Islander,Chemical Engineering,"['CHEMENG140', 'CHEMENG142', 'CHEMENG283', 'CHEMENG296', 'CHEMENG456', 'CHEMENG514', 'CHEMENG523', 'CHEMENG802']"
Martha Bradley,marthabradley@stanford.edu,2020,female,Asian,Chemical Engineering,"['CHEMENG140', 'CHEMENG170', 'CHEMENG174', 'CHEMENG181', 'CHEMENG340', 'CHEMENG500', 'CHEMENG516', 'CHEMENG517']"
David Stewart,davidstewart@stanford.edu,2018,male,Native Hawaiian or Pacific Islander,Computer Science,"['CS103', 'CS106A', 'CS106B', 'CS109', 'CS131', 'CS1U', 'CS245', 'CS349D']"
Albert Querry,albertquerry@stanford.edu,2021,male,Black or African American,Mechanical Engineering,"['ME115B', 'ME137', 'ME170A', 'ME240', 'ME342A', 'ME346B', 'ME451D', 'ME453A']"
Susan Lynch,susanlynch@stanford.edu,2021,female,Other,Mechanical Engineering,"['ME218D', 'ME224', 'ME299A', 'ME315', 'ME333', 'ME361', 'ME399', 'ME66SI']"
Allison Anderson,allisonanderson@stanford.edu,2018,female,American Indian or Alaskan Native,Computer Science,"['CS103', 'CS106A', 'CS106B', 'CS109', 'CS161', 'CS168', 'CS198B', 'CS96SI']"
Valerie Davis,valeriedavis@stanford.edu,2018,female,Asian,Civil and Environmental Engineering,"['CEE126', 'CEE141B', 'CEE199A', 'CEE227', 'CEE241A', 'CEE263A', 'CEE263C', 'CEE269C']"
Fatima Green,fatimagreen@stanford.edu,2019,female,White,Mechanical Engineering,"['ME182', 'ME204B', 'ME210', 'ME320', 'ME375A', 'ME376A', 'ME381', 'ME395']"
William Stallings,williamstallings@stanford.edu,2018,male,Native Hawaiian or Pacific Islander,Mechanical Engineering,"['ME105', 'ME16N', 'ME218A', 'ME262', 'ME335C', 'ME352A', 'ME358', 'ME375B']"
Madeline Ortiz,madelineortiz@stanford.edu,2019,female,Black or African American,Bioengineering,"['BIOE101', 'BIOE219', 'BIOE236', 'BIOE300A', 'BIOE301A', 'BIOE301B', 'BIOE372', 'BIOE484']"
Jaqueline Hoster,jaquelinehoster@stanford.edu,2020,female,Native Hawaiian or Pacific Islander,Civil and Environmental Engineering,"['CEE162D', 'CEE212C', 'CEE224A', 'CEE260A', 'CEE271M', 'CEE322', 'CEE328A', 'CEE32G']"
Karen Wehn,karenwehn@stanford.edu,2019,female,White,Computer Science,"['CS103', 'CS106A', 'CS106B', 'CS107', 'CS109', 'CS145', 'CS146', 'CS199P']"
Mary Mccoy,marymccoy@stanford.edu,2021,female,White,Computer Science,"['CS103', 'CS106A', 'CS106B', 'CS109', 'CS206', 'CS369H', 'CS390S', 'CS50']"
Jacqueline Chapman,jacquelinechapman@stanford.edu,2018,female,American Indian or Alaskan Native,Computer Science,"['CS103', 'CS106A', 'CS106AJ', 'CS109', 'CS145', 'CS147', 'CS329', 'CS448H']"
Phyllis Malek,phyllismalek@stanford.edu,2020,female,Black or African American,Aeronautics and Astronautics,"['AA121Q', 'AA141', 'AA206', 'AA215A', 'AA240A', 'AA248E', 'AA251', 'AA280']"
Linda Riggs,lindariggs@stanford.edu,2021,female,American Indian or Alaskan Native,Chemical Engineering,"['CHEMENG180', 'CHEMENG181', 'CHEMENG183', 'CHEMENG355', 'CHEMENG466', 'CHEMENG469', 'CHEMENG510', 'CHEMENG513']"
Diane Boggs,dianeboggs@stanford.edu,2019,female,Other,Computer Science,"['CS103', 'CS106A', 'CS106B', 'CS109', 'CS161', 'CS198', 'CS255', 'CS402']"
Benjamin Dodimead,benjamindodimead@stanford.edu,2019,male,Native Hawaiian or Pacific Islander,Electrical Engineering,"['EE102A', 'EE14N', 'EE155', 'EE191W', 'EE290F', 'EE347', 'EE382C', 'EE801']"
Esther Parsons,estherparsons@stanford.edu,2021,female,White,Computer Science,"['CS103', 'CS106A', 'CS106B', 'CS161', 'CS194H', 'CS245', 'CS248', 'CS399']"
Woodrow Fietek,woodrowfietek@stanford.edu,2020,male,Other,Management Science and Engineering,"['MS&E250B', 'MS&E263', 'MS&E271', 'MS&E278', 'MS&E314', 'MS&E355', 'MS&E454', 'MS&E493']"
Alfonso Bojorquez,alfonsobojorquez@stanford.edu,2021,male,American Indian or Alaskan Native,Mechanical Engineering,"['ME115C', 'ME125', 'ME161', 'ME212', 'ME216M', 'ME28SI', 'ME301', 'ME325']"
Gloria Dempsey,gloriadempsey@stanford.edu,2018,female,Black or African American,Mechanical Engineering,"['ME13N', 'ME27SI', 'ME316B', 'ME330', 'ME360', 'ME414', 'ME469', 'ME801']"
Leslie Thompson,lesliethompson@stanford.edu,2020,female,American Indian or Alaskan Native,Electrical Engineering,"['EE178', 'EE233', 'EE256', 'EE311', 'EE328', 'EE334', 'EE368', 'EE42']"
Miles Young,milesyoung@stanford.edu,2021,male,White,Mechanical Engineering,"['ME181', 'ME218A', 'ME26N', 'ME299B', 'ME335B', 'ME342A', 'ME413', 'ME66SI']"
Steven Gordon,stevengordon@stanford.edu,2021,male,Other,Mechanical Engineering,"['ME13N', 'ME17', 'ME170B', 'ME24N', 'ME257', 'ME342D', 'ME360', 'ME412']"
Norma Ambrose,normaambrose@stanford.edu,2021,female,White,Chemical Engineering,"['CHEMENG180', 'CHEMENG191H', 'CHEMENG281', 'CHEMENG432', 'CHEMENG450', 'CHEMENG501', 'CHEMENG60Q', 'CHEMENG80Q']"
Bong Staples,bongstaples@stanford.edu,2018,female,Other,Materials Science and Engineering,"['MATSCI10SC', 'MATSCI193', 'MATSCI198', 'MATSCI201', 'MATSCI204', 'MATSCI230', 'MATSCI256', 'MATSCI320']"
David Hoover,davidhoover@stanford.edu,2020,male,Asian,Electrical Engineering,"['EE114', 'EE116', 'EE207', 'EE242', 'EE253', 'EE290D', 'EE376C', 'EE382C']"
Roger Wamsley,rogerwamsley@stanford.edu,2018,male,White,Civil and Environmental Engineering,"['CEE1', 'CEE120S', 'CEE141B', 'CEE199', 'CEE246B', 'CEE325', 'CEE362G', 'CEE6']"
Kerri Sengbusch,kerrisengbusch@stanford.edu,2019,female,Native Hawaiian or Pacific Islander,Aeronautics and Astronautics,"['AA115N', 'AA201B', 'AA210A', 'AA241B', 'AA279B', 'AA284C', 'AA301', 'AA47SI']"
Christina Perry,christinaperry@stanford.edu,2021,female,White,Mechanical Engineering,"['ME105', 'ME110B', 'ME125', 'ME177', 'ME231', 'ME236', 'ME260', 'ME469B']"
David Dugas,daviddugas@stanford.edu,2018,male,American Indian or Alaskan Native,Bioengineering,"['BIOE191', 'BIOE220', 'BIOE229', 'BIOE285', 'BIOE301B', 'BIOE375B', 'BIOE42', 'BIOE484']"
Bradley Poole,bradleypoole@stanford.edu,2021,male,Native Hawaiian or Pacific Islander,Aeronautics and Astronautics,"['AA119N', 'AA199', 'AA210B', 'AA214C', 'AA215A', 'AA228', 'AA248E', 'AA284A']"
Roxie Sparks,roxiesparks@stanford.edu,2018,female,Native Hawaiian or Pacific Islander,Computer Science,"['CS103', 'CS106A', 'CS106B', 'CS107', 'CS109', 'CS131', 'CS275B', 'CS390Q']"
Velma Tolbert,velmatolbert@stanford.edu,2021,female,Black or African American,Civil and Environmental Engineering,"['CEE101B', 'CEE169', 'CEE207S', 'CEE212D', 'CEE217', 'CEE260C', 'CEE263B', 'CEE276C']"
Karen Mercer,karenmercer@stanford.edu,2018,female,White,Computer Science,"['CS103', 'CS106A', 'CS106B', 'CS107', 'CS109', 'CS161', 'CS45N', 'CS53SI']"
Stephanie Terry,stephanieterry@stanford.edu,2019,female,White,Materials Science and Engineering,"['MATSCI160', 'MATSCI161', 'MATSCI190', 'MATSCI196', 'MATSCI204', 'MATSCI299', 'MATSCI326', 'MATSCI381']"
Karla Davis,karladavis@stanford.edu,2018,female,American Indian or Alaskan Native,Materials Science and Engineering,"['MATSCI174', 'MATSCI175', 'MATSCI197', 'MATSCI203', 'MATSCI251', 'MATSCI316', 'MATSCI380', 'MATSCI82N']"
Eve Starrick,evestarrick@stanford.edu,2019,female,Native Hawaiian or Pacific Islander,Electrical Engineering,"['EE204S', 'EE327', 'EE347', 'EE355', 'EE364B', 'EE376D', 'EE382A', 'EE392I']"
Carlos Peterson,carlospeterson@stanford.edu,2021,male,Native Hawaiian or Pacific Islander,Computer Science,"['CS103', 'CS103A', 'CS106A', 'CS106B', 'CS109', 'CS273B', 'CS331B', 'CS390T']"
Daniel Carter,danielcarter@stanford.edu,2019,male,Asian,Materials Science and Engineering,"['MATSCI156', 'MATSCI160', 'MATSCI163', 'MATSCI198', 'MATSCI205', 'MATSCI207', 'MATSCI311', 'MATSCI801']"
Kathryn Willis,kathrynwillis@stanford.edu,2018,female,Native Hawaiian or Pacific Islander,Computer Science,"['CS103', 'CS103A', 'CS106A', 'CS106AP', 'CS109', 'CS210B', 'CS238', 'CS246']"
Jean Morin,jeanmorin@stanford.edu,2019,female,Asian,Bioengineering,"['BIOE10N', 'BIOE115', 'BIOE141B', 'BIOE191', 'BIOE201C', 'BIOE283', 'BIOE393', 'BIOE454']"
Josh Wolford,joshwolford@stanford.edu,2021,male,American Indian or Alaskan Native,Computer Science,"['CS103', 'CS106A', 'CS106B', 'CS107', 'CS109', 'CS221', 'CS82', 'CS95SI']"
Gail Garry,gailgarry@stanford.edu,2019,female,Asian,Aeronautics and Astronautics,"['AA100', 'AA116Q', 'AA215A', 'AA241A', 'AA241X', 'AA271A', 'AA274', 'AA279C']"
Mathew Rebman,mathewrebman@stanford.edu,2020,male,Asian,Management Science and Engineering,"['MS&E112', 'MS&E120', 'MS&E175', 'MS&E185', 'MS&E245A', 'MS&E297', 'MS&E302', 'MS&E335']"
Paul Kovach,paulkovach@stanford.edu,2021,male,American Indian or Alaskan Native,Mechanical Engineering,"['ME202', 'ME27SI', 'ME290', 'ME302C', 'ME309', 'ME313', 'ME410B', 'ME451A']"
Anna Wilgus,annawilgus@stanford.edu,2019,female,Asian,Computer Science,"['CS103', 'CS106A', 'CS106AP', 'CS106B', 'CS109', 'CS161', 'CS390T', 'CS468']"
William Derego,williamderego@stanford.edu,2020,male,American Indian or Alaskan Native,Computer Science,"['CS103', 'CS106A', 'CS106S', 'CS109', 'CS166', 'CS250', 'CS340', 'CS54N']"
Candace Dixon,candacedixon@stanford.edu,2019,female,Asian,Computer Science,"['CS103', 'CS106A', 'CS106B', 'CS109', 'CS234', 'CS265', 'CS369H', 'CS399P']"
Brandon Bisson,brandonbisson@stanford.edu,2018,male,Black or African American,Civil and Environmental Engineering,"['CEE102', 'CEE131A', 'CEE206', 'CEE279F', 'CEE299L', 'CEE29N', 'CEE374A', 'CEE374M']"
Dee Spiegel,deespiegel@stanford.edu,2018,female,Asian,Computer Science,"['CS103', 'CS106A', 'CS107', 'CS109', 'CS203', 'CS273A', 'CS393', 'CS424M']"
Sherry Whitaker,sherrywhitaker@stanford.edu,2018,female,Other,Management Science and Engineering,"['MS&E111X', 'MS&E130', 'MS&E140X', 'MS&E231', 'MS&E254', 'MS&E295', 'MS&E355', 'MS&E450']"
John Miller,johnmiller@stanford.edu,2020,male,American Indian or Alaskan Native,Mechanical Engineering,"['ME10N', 'ME13AX', 'ME141', 'ME203', 'ME218C', 'ME298', 'ME359B', 'ME450']"
Shirley Lipsitz,shirleylipsitz@stanford.edu,2021,female,Asian,Materials Science and Engineering,"['MATSCI165', 'MATSCI171', 'MATSCI209', 'MATSCI302', 'MATSCI316', 'MATSCI326', 'MATSCI358', 'MATSCI802']"
Lewis Chin,lewischin@stanford.edu,2020,male,White,Management Science and Engineering,"['MS&E221', 'MS&E241', 'MS&E316', 'MS&E321', 'MS&E347', 'MS&E384', 'MS&E448', 'MS&E472']"
John Subido,johnsubido@stanford.edu,2018,male,Asian,Management Science and Engineering,"['MS&E208C', 'MS&E233', 'MS&E275', 'MS&E280', 'MS&E295', 'MS&E388', 'MS&E389', 'MS&E52']"
Jessica Alexander,jessicaalexander@stanford.edu,2019,female,Black or African American,Bioengineering,"['BIOE141A', 'BIOE219', 'BIOE261', 'BIOE279', 'BIOE375B', 'BIOE42', 'BIOE44', 'BIOE450']"
Brian Rivera,brianrivera@stanford.edu,2019,male,Native Hawaiian or Pacific Islander,Materials Science and Engineering,"['MATSCI151', 'MATSCI165', 'MATSCI173', 'MATSCI192', 'MATSCI201', 'MATSCI203', 'MATSCI230', 'MATSCI346']"
Patrice Folsom,patricefolsom@stanford.edu,2020,female,American Indian or Alaskan Native,Materials Science and Engineering,"['MATSCI142', 'MATSCI161', 'MATSCI175', 'MATSCI192', 'MATSCI195', 'MATSCI256', 'MATSCI326', 'MATSCI84N']"
Debra Wheeless,debrawheeless@stanford.edu,2020,female,Other,Management Science and Engineering,"['MS&E146', 'MS&E178', 'MS&E190', 'MS&E208C', 'MS&E252', 'MS&E292', 'MS&E334', 'MS&E379']"
Towanda Harvey,towandaharvey@stanford.edu,2019,female,Other,Chemical Engineering,"['CHEMENG242', 'CHEMENG25B', 'CHEMENG25E', 'CHEMENG296', 'CHEMENG300', 'CHEMENG450', 'CHEMENG466', 'CHEMENG514']"
Alice Hall,alicehall@stanford.edu,2019,female,Black or African American,Aeronautics and Astronautics,"['AA121Q', 'AA199', 'AA201A', 'AA201B', 'AA236A', 'AA241X', 'AA257', 'AA260']"
Christine Parker,christineparker@stanford.edu,2021,female,American Indian or Alaskan Native,Management Science and Engineering,"['MS&E202', 'MS&E265', 'MS&E299', 'MS&E319', 'MS&E333', 'MS&E351', 'MS&E365', 'MS&E52']"
Devin Garces,devingarces@stanford.edu,2020,male,Native Hawaiian or Pacific Islander,Mechanical Engineering,"['ME141', 'ME161', 'ME199A', 'ME200', 'ME221', 'ME228', 'ME320', 'ME52SI']"
Zachary Altschuler,zacharyaltschuler@stanford.edu,2020,male,Native Hawaiian or Pacific Islander,Computer Science,"['CS103', 'CS106A', 'CS109', 'CS109L', 'CS161', 'CS402', 'CS448B', 'CS52']"
Tina David,tinadavid@stanford.edu,2019,female,Asian,Computer Science,"['CS103', 'CS106A', 'CS106B', 'CS109', 'CS109', 'CS193X', 'CS210B', 'CS581']"
Oliver Bailey,oliverbailey@stanford.edu,2019,male,Black or African American,Computer Science,"['CS103', 'CS106A', 'CS107', 'CS109', 'CS161', 'CS193P', 'CS269G', 'CS428']"
Thelma Short,thelmashort@stanford.edu,2020,female,Black or African American,Civil and Environmental Engineering,"['CEE122B', 'CEE166B', 'CEE177S', 'CEE17SC', 'CEE239', 'CEE32U', 'CEE370A', 'CEE374M']"
Harry Freed,harryfreed@stanford.edu,2018,male,Other,Electrical Engineering,"['EE282', 'EE292B', 'EE314A', 'EE367', 'EE384S', 'EE386', 'EE387', 'EE391']"
