Name,Email,Year,Gender,Ethnicity,Major,Courses
Joseph Yu,josephyu@stanford.edu,2018,male,American Indian or Alaskan Native,Bioengineering,"['BIOE 211', 'BIOE 223', 'BIOE 236', 'BIOE 248', 'BIOE 260', 'BIOE 281', 'BIOE 301B', 'BIOE 70Q']"
Tanya Reeves,tanyareeves@stanford.edu,2018,female,Other,Mechanical Engineering,"['ME 110', 'ME 14N', 'ME 23Q', 'ME 240', 'ME 311', 'ME 338', 'ME 374', 'ME 491']"
John Hollowell,johnhollowell@stanford.edu,2021,male,White,Electrical Engineering,"['EE 204S', 'EE 256', 'EE 290C', 'EE 314B', 'EE 331', 'EE 356B', 'EE 378B', 'EE 42']"
James Echevarria,jamesechevarria@stanford.edu,2019,male,Other,Aeronautics and Astronautics,"['AA 201A', 'AA 210B', 'AA 241B', 'AA 256', 'AA 279A', 'AA 284A', 'AA 291', 'AA 301']"
Brian Walker,brianwalker@stanford.edu,2020,male,Black or African American,Mechanical Engineering,"['ME 227', 'ME 23Q', 'ME 304', 'ME 313', 'ME 328', 'ME 342', 'ME 342A', 'ME 352B']"
Robert Atkinson,robertatkinson@stanford.edu,2021,male,American Indian or Alaskan Native,Management Science and Engineering,"['MS&E 120', 'MS&E 125', 'MS&E 175', 'MS&E 188', 'MS&E 241', 'MS&E 273', 'MS&E 348', 'MS&E 52']"
Kelly Hill,kellyhill@stanford.edu,2020,female,Asian,Civil and Environmental Engineering,"['CEE 107A', 'CEE 124Z', 'CEE 141C', 'CEE 241B', 'CEE 258', 'CEE 262C', 'CEE 32Y', 'CEE 363F']"
Terri Ortiz,terriortiz@stanford.edu,2018,female,White,Computer Science,"['CS 106A', 'CS 196', 'CS 210A', 'CS 224N', 'CS 261', 'CS 294W', 'CS 332', 'CS 581']"
Douglas Horne,douglashorne@stanford.edu,2018,male,Other,Materials Science and Engineering,"['MATSCI 150', 'MATSCI 151', 'MATSCI 161', 'MATSCI 173', 'MATSCI 204', 'MATSCI 256', 'MATSCI 312', 'MATSCI 359']"
Daniel Alessio,danielalessio@stanford.edu,2020,male,White,Civil and Environmental Engineering,"['CEE 139', 'CEE 141A', 'CEE 212C', 'CEE 220A', 'CEE 244A', 'CEE 263C', 'CEE 265A', 'CEE 274B']"
Donna Hostetler,donnahostetler@stanford.edu,2019,female,White,Materials Science and Engineering,"['MATSCI 145', 'MATSCI 160', 'MATSCI 164', 'MATSCI 196', 'MATSCI 206', 'MATSCI 303', 'MATSCI 358', 'MATSCI 382']"
Mary Keller,marykeller@stanford.edu,2019,female,Black or African American,Electrical Engineering,"['EE 103', 'EE 190', 'EE 205', 'EE 282', 'EE 292G', 'EE 328', 'EE 385A', 'EE 469B']"
Paulette Walters,paulettewalters@stanford.edu,2018,female,Other,Chemical Engineering,"['CHEMENG 162', 'CHEMENG 20', 'CHEMENG 296', 'CHEMENG 300', 'CHEMENG 31N', 'CHEMENG 410', 'CHEMENG 503', 'CHEMENG 60Q']"
James Cotton,jamescotton@stanford.edu,2018,male,Native Hawaiian or Pacific Islander,Civil and Environmental Engineering,"['CEE 166D', 'CEE 199E', 'CEE 207A', 'CEE 260C', 'CEE 271A', 'CEE 285A', 'CEE 398', 'CEE 399']"
Paula Garza,paulagarza@stanford.edu,2020,female,White,Chemical Engineering,"['CHEMENG 120B', 'CHEMENG 191H', 'CHEMENG 345', 'CHEMENG 503', 'CHEMENG 513', 'CHEMENG 514', 'CHEMENG 801', 'CHEMENG 80Q']"
Penny Kattner,pennykattner@stanford.edu,2018,female,American Indian or Alaskan Native,Aeronautics and Astronautics,"['AA 200', 'AA 208', 'AA 214B', 'AA 241B', 'AA 241X', 'AA 251', 'AA 277', 'AA 294']"
Patricia Oropesa,patriciaoropesa@stanford.edu,2020,female,Black or African American,Electrical Engineering,"['EE 100', 'EE 178', 'EE 278', 'EE 292C', 'EE 327', 'EE 328', 'EE 359', 'EE 392AA']"
William Mulder,williammulder@stanford.edu,2021,male,Other,Mechanical Engineering,"['ME 103D', 'ME 12SC', 'ME 140', 'ME 203', 'ME 241', 'ME 245', 'ME 373', 'ME 421']"
Sandra Powell,sandrapowell@stanford.edu,2019,female,Other,Aeronautics and Astronautics,"['AA 118N', 'AA 119N', 'AA 215B', 'AA 229', 'AA 240B', 'AA 241X', 'AA 260', 'AA 300']"
Richard Huber,richardhuber@stanford.edu,2018,male,Native Hawaiian or Pacific Islander,Materials Science and Engineering,"['MATSCI 142', 'MATSCI 156', 'MATSCI 160', 'MATSCI 174', 'MATSCI 197', 'MATSCI 256', 'MATSCI 322', 'MATSCI 347']"
Tomas Smith,tomassmith@stanford.edu,2019,male,Native Hawaiian or Pacific Islander,Mechanical Engineering,"['ME 199A', 'ME 204A', 'ME 218D', 'ME 224', 'ME 300A', 'ME 310A', 'ME 323', 'ME 379']"
James Boldt,jamesboldt@stanford.edu,2021,male,Other,Bioengineering,"['BIOE 10N', 'BIOE 222', 'BIOE 244', 'BIOE 261', 'BIOE 333', 'BIOE 375A', 'BIOE 390', 'BIOE 485']"
Claudette Mull,claudettemull@stanford.edu,2020,female,American Indian or Alaskan Native,Computer Science,"['CS 106A', 'CS 106B', 'CS 194', 'CS 198', 'CS 248', 'CS 341', 'CS 377U', 'CS 393']"
Jessica Taylor,jessicataylor@stanford.edu,2019,female,White,Management Science and Engineering,"['MS&E 125', 'MS&E 175', 'MS&E 178', 'MS&E 188', 'MS&E 221', 'MS&E 233', 'MS&E 301', 'MS&E 321']"
James Quijano,jamesquijano@stanford.edu,2018,male,Other,Management Science and Engineering,"['MS&E 135', 'MS&E 193', 'MS&E 351', 'MS&E 352', 'MS&E 449', 'MS&E 454', 'MS&E 475B', 'MS&E 494']"
Darren Smallwood,darrensmallwood@stanford.edu,2021,male,Black or African American,Electrical Engineering,"['EE 124', 'EE 155', 'EE 169', 'EE 290E', 'EE 292L', 'EE 315', 'EE 356A', 'EE 65']"
Jason Banks,jasonbanks@stanford.edu,2021,male,White,Bioengineering,"['BIOE 122', 'BIOE 215', 'BIOE 221G', 'BIOE 236', 'BIOE 260', 'BIOE 281', 'BIOE 300B', 'BIOE 459']"
James Dorris,jamesdorris@stanford.edu,2021,male,Black or African American,Bioengineering,"['BIOE 101', 'BIOE 140', 'BIOE 158', 'BIOE 238', 'BIOE 282', 'BIOE 331', 'BIOE 361', 'BIOE 485']"
Esther Monroe,esthermonroe@stanford.edu,2020,female,Other,Electrical Engineering,"['EE 100', 'EE 101A', 'EE 102B', 'EE 103', 'EE 230', 'EE 349', 'EE 369B', 'EE 392B']"
Martin Bustos,martinbustos@stanford.edu,2018,male,Native Hawaiian or Pacific Islander,Computer Science,"['CS 106A', 'CS 106B', 'CS 157', 'CS 168', 'CS 192', 'CS 224S', 'CS 269I', 'CS 390Q']"
Alvin Deshields,alvindeshields@stanford.edu,2021,male,Black or African American,Computer Science,"['CS 106A', 'CS 106B', 'CS 107', 'CS 143', 'CS 190', 'CS 251', 'CS 390Q', 'CS 54N']"
Cindy Rios,cindyrios@stanford.edu,2021,female,Other,Materials Science and Engineering,"['MATSCI 162', 'MATSCI 209', 'MATSCI 251', 'MATSCI 299', 'MATSCI 312', 'MATSCI 326', 'MATSCI 353', 'MATSCI 84N']"
Carla Coleman,carlacoleman@stanford.edu,2020,female,Black or African American,Bioengineering,"['BIOE 220', 'BIOE 260', 'BIOE 279', 'BIOE 301D', 'BIOE 311', 'BIOE 393', 'BIOE 42', 'BIOE 51']"
Rosario Kindred,rosariokindred@stanford.edu,2020,female,American Indian or Alaskan Native,Electrical Engineering,"['EE 14N', 'EE 191W', 'EE 242', 'EE 282', 'EE 292T', 'EE 356B', 'EE 390', 'EE 802']"
Andrew Smith,andrewsmith@stanford.edu,2019,male,Black or African American,Civil and Environmental Engineering,"['CEE 112C', 'CEE 246', 'CEE 265C', 'CEE 279F', 'CEE 32F', 'CEE 363B', 'CEE 50N', 'CEE 801']"
Richard Ortiz,richardortiz@stanford.edu,2021,male,Native Hawaiian or Pacific Islander,Aeronautics and Astronautics,"['AA 100', 'AA 203', 'AA 228', 'AA 241X', 'AA 242A', 'AA 248E', 'AA 250', 'AA 301']"
Ivette Criner,ivettecriner@stanford.edu,2021,female,Asian,Electrical Engineering,"['EE 222', 'EE 230', 'EE 263', 'EE 334', 'EE 336', 'EE 376C', 'EE 382A', 'EE 391']"
Jim Casas,jimcasas@stanford.edu,2020,male,Native Hawaiian or Pacific Islander,Mechanical Engineering,"['ME 232', 'ME 29SI', 'ME 311', 'ME 364', 'ME 370A', 'ME 388', 'ME 440', 'ME 463']"
Brian Jackson,brianjackson@stanford.edu,2018,male,American Indian or Alaskan Native,Bioengineering,"['BIOE 219', 'BIOE 281', 'BIOE 282', 'BIOE 331', 'BIOE 375A', 'BIOE 377', 'BIOE 381', 'BIOE 80']"
Brian Spriggs,brianspriggs@stanford.edu,2019,male,Native Hawaiian or Pacific Islander,Bioengineering,"['BIOE 103', 'BIOE 201C', 'BIOE 211', 'BIOE 215', 'BIOE 223', 'BIOE 391', 'BIOE 51', 'BIOE 70Q']"
Calvin Cunningham,calvincunningham@stanford.edu,2020,male,Native Hawaiian or Pacific Islander,Computer Science,"['CS 106A', 'CS 106B', 'CS 106L', 'CS 196', 'CS 199P', 'CS 203', 'CS 264', 'CS 41']"
Ryan Richards,ryanrichards@stanford.edu,2020,male,White,Aeronautics and Astronautics,"['AA 108N', 'AA 119N', 'AA 215B', 'AA 250', 'AA 277', 'AA 280', 'AA 290', 'AA 801']"
Gary Johnson,garyjohnson@stanford.edu,2020,male,Black or African American,Computer Science,"['CS 106A', 'CS 106B', 'CS 107', 'CS 246H', 'CS 248', 'CS 345S', 'CS 349', 'CS 390A']"
Laura Ball,lauraball@stanford.edu,2020,female,Native Hawaiian or Pacific Islander,Mechanical Engineering,"['ME 191H', 'ME 210', 'ME 26N', 'ME 300C', 'ME 310C', 'ME 405', 'ME 406', 'ME 80']"
Kellie Tripp,kellietripp@stanford.edu,2020,female,Other,Computer Science,"['CS 106A', 'CS 107E', 'CS 110', 'CS 161', 'CS 183F', 'CS 194', 'CS 229T', 'CS 448']"
Pamela Bires,pamelabires@stanford.edu,2021,female,White,Mechanical Engineering,"['ME 105', 'ME 124', 'ME 230', 'ME 285', 'ME 290', 'ME 338B', 'ME 353', 'ME 495A']"
Adam Fulton,adamfulton@stanford.edu,2018,male,White,Management Science and Engineering,"['MS&E 121', 'MS&E 201', 'MS&E 208E', 'MS&E 233', 'MS&E 237', 'MS&E 321', 'MS&E 390', 'MS&E 802']"
Vickie Johnson,vickiejohnson@stanford.edu,2021,female,Black or African American,Management Science and Engineering,"['MS&E 121', 'MS&E 147', 'MS&E 272', 'MS&E 295', 'MS&E 302', 'MS&E 319', 'MS&E 334', 'MS&E 487']"
Juanita Gage,juanitagage@stanford.edu,2019,female,Black or African American,Chemical Engineering,"['CHEMENG 100', 'CHEMENG 110', 'CHEMENG 12SC', 'CHEMENG 170', 'CHEMENG 181', 'CHEMENG 183', 'CHEMENG 320', 'CHEMENG 801']"
Donald Stephens,donaldstephens@stanford.edu,2018,male,Native Hawaiian or Pacific Islander,Chemical Engineering,"['CHEMENG 140', 'CHEMENG 181', 'CHEMENG 190H', 'CHEMENG 281', 'CHEMENG 283', 'CHEMENG 345', 'CHEMENG 484', 'CHEMENG 501']"
Heather Browning,heatherbrowning@stanford.edu,2020,female,Native Hawaiian or Pacific Islander,Management Science and Engineering,"['MS&E 208A', 'MS&E 221', 'MS&E 238', 'MS&E 372', 'MS&E 381', 'MS&E 448', 'MS&E 472', 'MS&E 475A']"
Vincent Sheridan,vincentsheridan@stanford.edu,2019,male,Other,Computer Science,"['CS 106A', 'CS 106B', 'CS 148', 'CS 194W', 'CS 205B', 'CS 273A', 'CS 294H', 'CS 571']"
Stacey Morgan,staceymorgan@stanford.edu,2020,female,American Indian or Alaskan Native,Management Science and Engineering,"['MS&E 140', 'MS&E 20', 'MS&E 284', 'MS&E 310', 'MS&E 324', 'MS&E 325', 'MS&E 371', 'MS&E 487']"
William Randall,williamrandall@stanford.edu,2020,male,American Indian or Alaskan Native,Electrical Engineering,"['EE 256', 'EE 261', 'EE 264', 'EE 278', 'EE 329', 'EE 364B', 'EE 378A', 'EE 387']"
Sue Mcfolley,suemcfolley@stanford.edu,2021,female,Native Hawaiian or Pacific Islander,Materials Science and Engineering,"['MATSCI 10SC', 'MATSCI 156', 'MATSCI 192', 'MATSCI 194', 'MATSCI 210', 'MATSCI 241', 'MATSCI 353', 'MATSCI 83N']"
Darryl Brooks,darrylbrooks@stanford.edu,2019,male,Black or African American,Aeronautics and Astronautics,"['AA 108N', 'AA 109Q', 'AA 119N', 'AA 210B', 'AA 214C', 'AA 228', 'AA 257', 'AA 295']"
Drew Guinn,drewguinn@stanford.edu,2019,male,Black or African American,Computer Science,"['CS 106A', 'CS 107', 'CS 231N', 'CS 251', 'CS 275B', 'CS 315A', 'CS 328', 'CS 402L']"
Florence Jost,florencejost@stanford.edu,2019,female,Black or African American,Computer Science,"['CS 106A', 'CS 106B', 'CS 107E', 'CS 181', 'CS 270', 'CS 294S', 'CS 323', 'CS 390S']"
Gail Blethen,gailblethen@stanford.edu,2021,female,Black or African American,Aeronautics and Astronautics,"['AA 122N', 'AA 212', 'AA 229', 'AA 236B', 'AA 260', 'AA 279A', 'AA 294', 'AA 301']"
Ashley Rudnick,ashleyrudnick@stanford.edu,2019,female,White,Civil and Environmental Engineering,"['CEE 132H', 'CEE 162A', 'CEE 199E', 'CEE 200C', 'CEE 231', 'CEE 323B', 'CEE 32F', 'CEE 83']"
Scott Lapointe,scottlapointe@stanford.edu,2021,male,Asian,Materials Science and Engineering,"['MATSCI 143', 'MATSCI 151', 'MATSCI 192', 'MATSCI 193', 'MATSCI 194', 'MATSCI 380', 'MATSCI 81N', 'MATSCI 84N']"
Edward Weber,edwardweber@stanford.edu,2021,male,Other,Electrical Engineering,"['EE 101B', 'EE 243', 'EE 290C', 'EE 308', 'EE 309', 'EE 376A', 'EE 378A', 'EE 469B']"
Patrick Fagan,patrickfagan@stanford.edu,2021,male,Black or African American,Chemical Engineering,"['CHEMENG 130', 'CHEMENG 142', 'CHEMENG 180', 'CHEMENG 190H', 'CHEMENG 196', 'CHEMENG 274', 'CHEMENG 444', 'CHEMENG 454']"
Richard Bloodsaw,richardbloodsaw@stanford.edu,2018,male,Other,Aeronautics and Astronautics,"['AA 120Q', 'AA 122N', 'AA 190', 'AA 214A', 'AA 222', 'AA 250', 'AA 295', 'AA 297']"
Anita Pimentel,anitapimentel@stanford.edu,2021,female,Black or African American,Chemical Engineering,"['CHEMENG 110', 'CHEMENG 183', 'CHEMENG 35N', 'CHEMENG 432', 'CHEMENG 469', 'CHEMENG 519', 'CHEMENG 522', 'CHEMENG 90Q']"
Frances Coleman,francescoleman@stanford.edu,2021,female,Black or African American,Aeronautics and Astronautics,"['AA 109Q', 'AA 120Q', 'AA 214C', 'AA 215A', 'AA 236C', 'AA 240B', 'AA 273', 'AA 279C']"
Larry Robinson,larryrobinson@stanford.edu,2018,male,Asian,Computer Science,"['CS 106A', 'CS 106B', 'CS 107', 'CS 181W', 'CS 191', 'CS 250', 'CS 327A', 'CS 345S']"
Patrick Thompson,patrickthompson@stanford.edu,2019,male,Black or African American,Electrical Engineering,"['EE 236A', 'EE 262', 'EE 264W', 'EE 266', 'EE 376D', 'EE 379', 'EE 392B', 'EE 801']"
Peter Robbins,peterrobbins@stanford.edu,2018,male,Asian,Mechanical Engineering,"['ME 101', 'ME 12N', 'ME 17', 'ME 283', 'ME 335B', 'ME 341X', 'ME 346A', 'ME 801']"
Pam Christoff,pamchristoff@stanford.edu,2020,female,Native Hawaiian or Pacific Islander,Mechanical Engineering,"['ME 104B', 'ME 218C', 'ME 225', 'ME 265', 'ME 289B', 'ME 30', 'ME 374', 'ME 389']"
Marty Eldridge,martyeldridge@stanford.edu,2021,male,American Indian or Alaskan Native,Management Science and Engineering,"['MS&E 220', 'MS&E 243', 'MS&E 277', 'MS&E 300', 'MS&E 349', 'MS&E 380', 'MS&E 442', 'MS&E 487']"
Elizabeth Trantham,elizabethtrantham@stanford.edu,2019,female,Black or African American,Civil and Environmental Engineering,"['CEE 176B', 'CEE 179A', 'CEE 183', 'CEE 199H', 'CEE 263G', 'CEE 265D', 'CEE 276G', 'CEE 364F']"
Kevin Medina,kevinmedina@stanford.edu,2019,male,Other,Chemical Engineering,"['CHEMENG 100', 'CHEMENG 181', 'CHEMENG 242', 'CHEMENG 296', 'CHEMENG 451', 'CHEMENG 484', 'CHEMENG 513', 'CHEMENG 521']"
Nathaniel Stigers,nathanielstigers@stanford.edu,2019,male,Other,Materials Science and Engineering,"['MATSCI 143', 'MATSCI 150', 'MATSCI 172', 'MATSCI 195', 'MATSCI 198', 'MATSCI 199', 'MATSCI 322', 'MATSCI 358']"
Ashley Gendron,ashleygendron@stanford.edu,2019,female,Other,Civil and Environmental Engineering,"['CEE 120B', 'CEE 178', 'CEE 199S', 'CEE 212C', 'CEE 224Z', 'CEE 237B', 'CEE 258', 'CEE 83']"
John Burchinal,johnburchinal@stanford.edu,2020,male,Other,Chemical Engineering,"['CHEMENG 12SC', 'CHEMENG 150', 'CHEMENG 181', 'CHEMENG 345', 'CHEMENG 500', 'CHEMENG 501', 'CHEMENG 507', 'CHEMENG 515']"
Brian Willis,brianwillis@stanford.edu,2018,male,White,Aeronautics and Astronautics,"['AA 190', 'AA 210A', 'AA 214A', 'AA 215A', 'AA 297', 'AA 300', 'AA 301', 'AA 802']"
Ivory Dillard,ivorydillard@stanford.edu,2019,female,Other,Computer Science,"['CS 101', 'CS 106A', 'CS 225A', 'CS 246H', 'CS 376', 'CS 424M', 'CS 448', 'CS 448I']"
James Baker,jamesbaker@stanford.edu,2018,male,White,Aeronautics and Astronautics,"['AA 116Q', 'AA 201B', 'AA 203', 'AA 218', 'AA 236C', 'AA 274', 'AA 294', 'AA 297']"
Chong Wells,chongwells@stanford.edu,2018,female,Native Hawaiian or Pacific Islander,Electrical Engineering,"['EE 17N', 'EE 191A', 'EE 252', 'EE 254', 'EE 273', 'EE 292E', 'EE 314A', 'EE 336']"
Clifton Muir,cliftonmuir@stanford.edu,2020,male,American Indian or Alaskan Native,Electrical Engineering,"['EE 107', 'EE 236AL', 'EE 292H', 'EE 316', 'EE 369B', 'EE 384A', 'EE 388', 'EE 391']"
Humberto Digirolamo,humbertodigirolamo@stanford.edu,2020,male,Asian,Civil and Environmental Engineering,"['CEE 10A', 'CEE 159', 'CEE 162I', 'CEE 269A', 'CEE 277D', 'CEE 293', 'CEE 31', 'CEE 363G']"
Jeff Bungard,jeffbungard@stanford.edu,2019,male,Asian,Mechanical Engineering,"['ME 101', 'ME 216A', 'ME 218A', 'ME 302A', 'ME 351A', 'ME 351B', 'ME 363', 'ME 376C']"
Valrie Kallas,valriekallas@stanford.edu,2021,female,Native Hawaiian or Pacific Islander,Electrical Engineering,"['EE 101A', 'EE 230', 'EE 264', 'EE 285', 'EE 292B', 'EE 300', 'EE 46', 'EE 469B']"
Lester Dehetre,lesterdehetre@stanford.edu,2021,male,Other,Civil and Environmental Engineering,"['CEE 120S', 'CEE 144', 'CEE 201D', 'CEE 209B', 'CEE 220S', 'CEE 262G', 'CEE 266B', 'CEE 308']"
